統一編號,公司名稱,資料庫現有層級,出現的活動來源,方案來源
82806052,睿德系統有限公司,只有公司資料（第一層，基本）,2026.08.20_臺灣機器人與智慧自動化展,（無方案，僅公司基本資料）
28859051,資拓宏宇國際股份有限公司,只有公司資料（第一層，基本）,2026.06.26_未來商務展,（無方案，僅公司基本資料）
66218,神燈智能科技股份有限公司,只有公司資料（第一層，基本）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",（無方案，僅公司基本資料）
83157246,慧通智聯股份有限公司,只有公司資料（第一層，基本）,2026.08.20_臺灣機器人與智慧自動化展,（無方案，僅公司基本資料）
90011345,超數科技股份有限公司,只有公司資料（第一層，基本）,2026.07.30｜AI WAVE,（無方案，僅公司基本資料）
86891972,新漢股份有限公司,只有公司資料（第一層，基本）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",（無方案，僅公司基本資料）
94115407,蒲公英智能創意科技股份有限公司,只有公司資料（第一層，基本）,2026.06.26_未來商務展,（無方案，僅公司基本資料）
93740091,若谷資訊有限公司,只有公司資料（第一層，基本）,2026.06.26_未來商務展,（無方案，僅公司基本資料）
94270370,團薦科技股份有限公司,只有公司資料（第一層，基本）,2026.06.26_未來商務展,（無方案，僅公司基本資料）
97321598,狀態網際網路股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、政府軟體採購網、臺灣雲市集、雲市集工業館
42654754,人易科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、商業服務業專區、臺灣雲市集
53550539,行動貝果有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、商業服務業專區、臺灣雲市集、雲市集工業館
69268946,思偉達創新科技股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",SME AI平台、新創嚴選網、臺灣雲市集
82877008,數據立諮詢顧問有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、新創嚴選網、臺灣雲市集
82878338,律果科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、新創嚴選網、臺灣雲市集、雲市集工業館
90560806,智遊旅程股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、新創嚴選網、臺灣雲市集、領域型調查(人工搜查)
24929302,沃領客資訊服務股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",SME AI平台、臺灣雲市集
52305046,擁樂數據服務股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、臺灣雲市集
97090920,英特內軟體股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、臺灣雲市集
27520341,百加資通股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、臺灣雲市集、雲市集工業館
90350153,用益網路科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,SME AI平台、臺灣雲市集、雲市集工業館
16590299,偉康科技股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
27714944,昕力資訊股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
30922431,零壹科技股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,政府軟體採購網
51624280,宏碁雲架構服務股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
54837596,大數據股份有限公司,有方案（第二層）,2026.06.26_未來商務展,政府軟體採購網
53635609,誠雲科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,政府軟體採購網
70565450,安碁資訊股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
61845706,瑞思資訊股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
84783772,商丞科技股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,政府軟體採購網
89211838,旭辰資訊股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網
97311466,精誠資訊股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",政府軟體採購網、臺灣雲市集
90699098,數辰創藝科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,商業服務業專區
90510433,創造智能科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,商業服務業專區、新創嚴選網
23640801,所羅門股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,雲市集工業館、領域型調查(人工搜查)
50913781,聚典資訊股份有限公司,有方案（第二層）,2026.06.26_未來商務展,新創嚴選網
83234222,數位轉型科技有限公司,有方案（第二層）,2026.06.26_未來商務展,新創嚴選網
90271762,一眾科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,新創嚴選網
93642471,海云智慧雲端有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",新創嚴選網
89184038,日峰科技股份有限公司,有方案（第二層）,2026.08.20_臺灣機器人與智慧自動化展,新創嚴選網、雲市集工業館
24373514,凱鈿行動科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
24542716,精誠科技整合股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,臺灣雲市集
28112580,聖洋科技股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",臺灣雲市集
43774383,哲煜科技股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,臺灣雲市集
42724908,沃司科技股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,臺灣雲市集
50916648,配客嘉股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
52605851,光禾感知科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
52900636,翔評互動股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,臺灣雲市集
54163894,飛騰雲端系統股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
82816072,聰明學習股份有限公司,有方案（第二層）,2026.06.04_Digitimes第一場論壇EDM不重覆,臺灣雲市集
83178235,艾得利智能行銷科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
83619916,無間科技股份有限公司,有方案（第二層）,2026.08.19_台北國際物流暨物聯網展,臺灣雲市集
84598349,一零四資訊科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集
89627505,科盛科技股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",臺灣雲市集
97110931,協志聯合科技股份有限公司,有方案（第二層）,"2026.06,04_Digitimes第一場論壇報名名單、2026.06.04_Digitimes第一場論壇EDM不重覆",臺灣雲市集
28880147,瀚錸科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集、雲市集工業館
54510058,鼎恒數位科技股份有限公司,有方案（第二層）,2026.06.26_未來商務展,臺灣雲市集、雲市集工業館
